Country,G7,G20,OECD,Freedom
Afghanistan,0,0,0,27
Albania,0,0,0,67
Algeria,0,0,0,34
Andorra,0,0,0,94
Angola,0,0,0,32
Antigua and Barbuda,0,0,0,85
Argentina,0,1,0,85
Armenia,0,0,0,53
Australia,0,1,1,97
Austria,0,0,1,93
Azerbaijan,0,0,0,10
Bahamas,0,0,0,91
Bahrain,0,0,0,11
Bangladesh,0,0,0,39
Barbados,0,0,0,95
Belarus,0,0,0,19
Belgium,0,0,1,96
Belize,0,0,0,86
Benin,0,0,0,66
Bhutan,0,0,0,59
Bolivia,0,0,0,63
Bosnia and Herzegovina,0,0,0,53
Botswana,0,0,0,72
Brazil,0,1,0,75
Brunei,0,0,0,28
Bulgaria,0,0,0,80
Burkina Faso,0,0,0,56
Burma,0,0,0,30
Burundi,0,0,0,13
Cabo Verde,0,0,0,92
Cambodia,0,0,0,25
Cameroon,0,0,0,18
Canada,1,1,1,98
Central African Republic,0,0,0,10
Chad,0,0,0,17
Chile,0,0,1,90
China,0,1,0,10
Colombia,0,0,1,66
Comoros,0,0,0,44
Congo (Brazzaville),0,0,0,20
Congo (Kinshasa),0,0,0,18
Costa Rica,0,0,0,91
Cote d'Ivoire,0,0,0,51
Croatia,0,0,0,85
Cuba,0,0,0,14
Cyprus,0,0,0,94
Czechia,0,0,1,91
Denmark,0,0,1,97
Djibouti,0,0,0,24
Dominica,0,0,0,93
Dominican Republic,0,0,0,67
Ecuador,0,0,0,65
Egypt,0,0,0,21
El Salvador,0,0,0,66
Equatorial Guinea,0,0,0,6
Eritrea,0,0,0,2
Estonia,0,0,1,94
Eswatini,0,0,0,19
Ethiopia,0,0,0,24
Fiji,0,0,0,60
Finland,0,0,1,100
France,1,1,1,90
Gabon,0,0,0,22
Gambia,0,0,0,46
Georgia,0,0,0,61
Germany,1,1,1,94
Ghana,0,0,0,82
Greece,0,0,1,88
Grenada,0,0,0,89
Guatemala,0,0,0,52
Guinea,0,0,0,40
Guinea-Bissau,0,0,0,46
Guyana,0,0,0,74
Haiti,0,0,0,38
Holy See,0,0,0,NA
Honduras,0,0,0,45
Hungary,0,0,1,70
Iceland,0,0,1,94
India,0,1,0,71
Indonesia,0,1,0,61
Iran,0,0,0,17
Iraq,0,0,0,31
Ireland,0,0,1,97
Israel,0,0,1,76
Italy,1,1,1,89
Jamaica,0,0,0,78
Japan,1,1,1,96
Jordan,0,0,0,37
Kazakhstan,0,0,0,23
Kenya,0,0,0,48
South Korea,0,1,1,83
Kosovo,0,0,0,56
Kuwait,0,0,0,36
Kyrgyzstan,0,0,0,39
Laos,0,0,0,14
Latvia,0,0,1,89
Lebanon,0,0,0,44
Lesotho,0,0,0,63
Liberia,0,0,0,60
Libya,0,0,0,9
Liechtenstein,0,0,0,90
Lithuania,0,0,1,91
Luxembourg,0,0,1,98
Madagascar,0,0,0,61
Malawi,0,0,0,62
Malaysia,0,0,0,52
Maldives,0,0,0,40
Mali,0,0,0,41
Malta,0,0,0,90
Mauritania,0,0,0,34
Mauritius,0,0,0,89
Mexico,0,1,1,62
Moldova,0,0,0,60
Monaco,0,0,0,83
Mongolia,0,0,0,84
Montenegro,0,0,0,62
Morocco,0,0,0,37
Mozambique,0,0,0,45
Namibia,0,0,0,77
Nepal,0,0,0,56
Netherlands,0,0,1,99
New Zealand,0,0,1,97
Nicaragua,0,0,0,31
Niger,0,0,0,48
Nigeria,0,0,0,47
North Macedonia,0,0,0,63
Norway,0,0,1,100
Oman,0,0,0,23
Pakistan,0,0,0,38
Panama,0,0,0,84
Papua New Guinea,0,0,0,62
Paraguay,0,0,0,65
Peru,0,0,0,72
Philippines,0,0,0,59
Poland,0,0,1,84
Portugal,0,0,1,96
Qatar,0,0,0,25
Romania,0,0,0,83
Russia,0,1,0,20
Rwanda,0,0,0,22
Saint Kitts and Nevis,0,0,0,89
Saint Lucia,0,0,0,92
Saint Vincent and the Grenadines,0,0,0,91
San Marino,0,0,0,95
Sao Tome and Principe,0,0,0,84
Saudi Arabia,0,1,0,7
Senegal,0,0,0,71
Serbia,0,0,0,66
Seychelles,0,0,0,72
Sierra Leone,0,0,0,65
Singapore,0,0,0,50
Slovakia,0,0,1,88
Slovenia,0,0,1,94
Somalia,0,0,0,7
South Africa,0,1,0,79
South Sudan,0,0,0,2
Spain,0,0,1,92
Sri Lanka,0,0,0,56
Sudan,0,0,0,12
Suriname,0,0,0,75
Sweden,0,0,1,100
Switzerland,0,0,1,96
Syria,0,0,0,0
Taiwan,0,0,0,93
Tajikistan,0,0,0,9
Tanzania,0,0,0,40
Thailand,0,0,0,32
Timor-Leste,0,0,0,71
Togo,0,0,0,44
Trinidad and Tobago,0,0,0,82
Tunisia,0,0,0,70
Turkey,0,1,1,32
Uganda,0,0,0,34
Ukraine,0,0,0,62
United Arab Emirates,0,0,0,17
United Kingdom,1,1,1,94
United States,1,1,1,86
Uruguay,0,0,0,98
Uzbekistan,0,0,0,10
Venezuela,0,0,0,16
Vietnam,0,0,0,20
West Bank and Gaza,0,0,0,25
Western Sahara,0,0,0,4
Yemen,0,0,0,11
Zambia,0,0,0,54
Zimbabwe,0,0,0,29
